LoginID,UserID,LoginTimestamp,LogoutTimestamp,SessionDuration
L001,U_I001,2025-01-15 08:30:15,2025-01-15 10:45:30,8115
L002,Admin,2025-01-15 09:00:00,2025-01-15 09:45:22,2722
L003,U_I002,2025-01-15 10:15:45,2025-01-15 12:30:10,8065
L004,U_I003,2025-01-16 08:00:00,2025-01-16 09:15:30,4530
L005,U_I001,2025-01-16 13:20:00,2025-01-16 15:50:45,9045
L006,Admin,2025-01-16 14:00:30,2025-01-16 16:20:15,8385
L007,U_I004,2025-01-17 09:30:00,2025-01-17 11:00:00,5400
L008,U_I005,2025-01-17 10:45:30,2025-01-17 12:15:20,5390
L009,U_I002,2025-01-17 14:00:00,2025-01-17 16:30:45,9045
L010,U_I001,2025-01-18 08:15:00,2025-01-18 10:00:30,6330
L011,U_I003,2025-01-18 11:30:00,2025-01-18 13:45:15,8115
L012,Admin,2025-01-18 15:00:00,2025-01-18 17:30:00,9000
L013,U_I004,2025-01-19 08:00:15,2025-01-19 09:30:00,5385
L014,U_I005,2025-01-19 09:45:00,2025-01-19 11:20:30,5730
L015,U_I001,2025-01-19 13:00:00,2025-01-19 15:15:45,8145
L016,U_I002,2025-01-20 08:30:00,2025-01-20 10:45:30,8130
L017,Admin,2025-01-20 10:00:00,2025-01-20 12:30:15,9015
L018,U_I003,2025-01-20 14:15:00,2025-01-20 16:00:00,6300
L019,U_I004,2025-01-21 09:00:00,2025-01-21 11:30:45,9045
L020,U_I001,2025-01-21 13:45:00,2025-01-21 16:00:30,8130
L021,U_I005,2025-01-22 08:15:30,2025-01-22 10:30:00,8070
L022,Admin,2025-01-22 11:00:00,2025-01-22 13:15:45,8145
L023,U_I002,2025-01-22 14:30:00,2025-01-22 16:45:15,8115
L024,U_I003,2025-01-23 08:00:00,2025-01-23 09:45:30,6330
L025,U_I001,2025-01-23 10:30:00,2025-01-23 12:00:00,5400
