StudentID,Major,Year,Semester,Retake
S001,Computer Science,4,1,1
S002,Literature,2,3,0
S003,Mathematics,4,2,0
S004,Philosophy,4,1,0
S005,Statistics,2,3,0
S006,Engineering,1,2,0
S007,Philosophy,2,1,0
S008,Engineering,1,3,0
S009,Physics,3,2,0
S010,Computer Science,1,1,0
S011,Engineering,3,3,1
S012,Engineering,2,2,0
S013,Engineering,3,1,0
S014,Economics,1,3,0
S015,Engineering,1,2,0
S016,History,2,1,0
S017,Philosophy,2,3,0
S018,Mathematics,3,2,0
S019,History,3,1,0
S020,Biology,3,3,0
S021,History,1,2,1
S022,Mathematics,4,1,0
S023,Engineering,3,3,0
S024,Physics,2,2,0
S025,Statistics,3,1,0
S026,Engineering,1,3,0
S027,Mathematics,2,2,0
S028,Mathematics,2,1,0
S029,Literature,4,3,0
S030,Philosophy,2,2,0
S031,Philosophy,3,1,1
S032,History,4,3,0
S033,Economics,4,2,0
S034,Mathematics,3,1,0
S035,Engineering,1,3,0
S036,History,4,2,0
S037,Computer Science,3,1,0
S038,Philosophy,2,3,0
S039,Philosophy,1,2,0
S040,Biology,2,1,0
S041,Physics,1,3,1
S042,Literature,4,2,0
S043,Economics,3,1,0
S044,Economics,3,3,0
S045,Economics,1,2,0
S046,Statistics,3,1,0
S047,Physics,3,3,0
S048,Statistics,1,2,0
S049,Physics,2,1,0
S050,Economics,4,3,0
S051,Engineering,2,2,1
S052,Statistics,2,1,0
S053,Statistics,1,3,0
S054,History,3,2,0
S055,Mathematics,3,1,0
S056,Physics,4,3,0
S057,Statistics,1,2,0
S058,Literature,4,1,0
S059,Physics,4,3,0
S060,Physics,2,2,0
S061,Philosophy,2,1,1
S062,Literature,4,3,0
S063,Economics,4,2,0
S064,Engineering,1,1,0
S065,Philosophy,2,3,0
S066,Economics,1,2,0
S067,Statistics,1,1,0
S068,Literature,2,3,0
S069,Philosophy,4,2,0
S070,Physics,2,1,0
S071,Biology,3,3,1
S072,Biology,2,2,0
S073,Computer Science,2,1,0
S074,Economics,1,3,0
S075,History,4,2,0
S076,Philosophy,4,1,0
S077,Biology,4,3,0
S078,Physics,2,2,0
S079,Engineering,1,1,0
S080,Literature,2,3,0
S081,Statistics,4,2,1
S082,Economics,3,1,0
S083,Economics,4,3,0
S084,Engineering,2,2,0
S085,History,4,1,0
S086,Economics,2,3,0
S087,Literature,2,2,0
S088,Economics,4,1,0
S089,Economics,3,3,0
S090,Engineering,2,2,0
S091,Biology,3,1,1
S092,Economics,1,3,0
S093,Statistics,1,2,0
S094,Literature,4,1,0
S095,Literature,1,3,0
S096,Computer Science,2,2,0
S097,History,2,1,0
S098,Literature,1,3,0
S099,Mathematics,2,2,0
S100,Statistics,2,1,0
