Major,Year,Semester,CourseID
Computer Science,1,1,C101
Computer Science,3,2,C102
Biology,1,1,C103
Biology,2,3,C104
Computer Science,2,3,C105
Computer Science,3,2,C106
Literature,2,3,C107
Literature,1,1,C108
Computer Science,3,1,C109
Engineering,1,1,C109
Literature,3,2,C110
Computer Science,2,2,C111
Literature,2,3,C112
Computer Science,1,1,C113
Engineering,2,1,C114
Computer Science,3,1,C114
Computer Science,4,2,C115
Computer Science,2,1,C116
Computer Science,4,2,C117
Engineering,3,3,C118
Computer Science,3,3,C118
Philosophy,2,1,C119
Computer Science,4,1,C120
Computer Science,1,3,C121
Mathematics,2,2,C122
Computer Science,2,1,C123
Mathematics,2,2,C124
Mathematics,2,2,C125
Computer Science,4,3,C126
History,2,1,C127
Mathematics,2,3,C128
Computer Science,3,2,C129
Engineering,3,2,C129
History,3,2,C130
Computer Science,4,3,C131
Physics,2,3,C132
Physics,2,2,C133
Computer Science,1,3,C134
Biology,2,2,C135
Computer Science,3,2,C136
Computer Science,1,2,C137
Computer Science,4,1,C138
Economics,2,1,C139
Philosophy,2,1,C140
Literature,4,2,C141
Computer Science,3,1,C142
Biology,1,1,C143
Mathematics,3,2,C144
Computer Science,4,1,C145
Computer Science,4,2,C146
Philosophy,3,3,C147
Literature,2,3,C148
Literature,2,3,C149
Literature,1,3,C150
Philosophy,3,2,C151
Computer Science,1,1,C152
Computer Science,1,3,C153
Computer Science,3,2,C154
Computer Science,2,3,C155
Economics,2,3,C156
Computer Science,2,1,C157
Computer Science,1,1,C158
Literature,3,2,C159
Literature,2,3,C160
History,2,1,C161
Philosophy,3,2,C162
Economics,2,3,C163
Literature,2,1,C164
Computer Science,3,2,C165
History,3,2,C166
Computer Science,3,1,C167
Computer Science,3,1,C168
Computer Science,2,1,C169
Statistics,1,1,C170
Mathematics,1,1,C170
Computer Science,4,1,C171
Biology,3,2,C172
Computer Science,2,2,C173
Computer Science,2,3,C174
Physics,2,2,C175
Economics,2,3,C176
Statistics,2,3,C177
Literature,3,2,C178
Literature,3,2,C179
Computer Science,3,3,C180
Engineering,4,3,C180
Statistics,3,2,C181
Statistics,4,2,C182
Literature,4,2,C183
Computer Science,2,1,C184
Computer Science,1,1,C185
Computer Science,4,2,C186
Statistics,3,3,C187
Literature,1,1,C188
Computer Science,1,2,C189
Statistics,2,2,C190
Computer Science,3,3,C191
Computer Science,4,1,C192
Computer Science,3,2,C193
Computer Science,1,2,C194
Philosophy,4,2,C195
Computer Science,1,1,C196
Statistics,4,2,C197
Computer Science,3,3,C199
Physics,3,2,C200
Computer Science,3,1,C152
Computer Science,3,1,C169
Computer Science,3,3,C171
Computer Science,3,3,C192
Mathematics,1,1,C122
Mathematics,1,2,C124
Mathematics,3,3,C128
Mathematics,4,2,C125
Philosophy,1,1,C119
Philosophy,1,1,C140
Philosophy,2,3,C147
Statistics,1,1,C177
Statistics,1,2,C181
Statistics,1,2,C182
Statistics,2,3,C187
Statistics,2,2,C197
Engineering,1,1,C142
Engineering,1,3,C118
Engineering,1,2,C154
Engineering,2,1,C168
Engineering,2,3,C191
Engineering,2,2,C129
Engineering,3,1,C167
Engineering,3,3,C199
Physics,1,1,C132
Physics,1,2,C133
Physics,3,1,C173
Physics,4,1,C196
Economics,1,1,C139
Economics,1,3,C156
Economics,2,1,C163
Economics,3,1,C174
Economics,4,3,C174
History,1,1,C127
History,1,1,C161
History,2,1,C166
History,4,1,C152
Biology,3,1,C103
Biology,3,1,C143
Biology,4,3,C104
Biology,4,2,C135
