id,course_id,instructor_id,action_number,title,description,is_active,have_grade
1,C101,I001,1,Review Core Lectures,"Watch and take notes on lectures 1-5 covering fundamental algorithm concepts including time complexity,true,false
2,C101,I001,2,Complete Practice Problems,"Solve 20 practice problems from the textbook chapters 1-3. Focus on sorting algorithms and searching techniques",true,true
3,C101,I001,3,Attend Makeup Lab Session,"Participate in the scheduled makeup lab session to practice implementing algorithms in Python. Bring questions about unclear concepts",true,false
4,C101,I001,4,Submit Recovery Assignment,"Complete and submit the recovery assignment covering algorithm design and analysis. Minimum passing grade: 70%",true,true
5,C101,I001,5,Final Assessment Quiz,"Take the comprehensive quiz covering all recovered material. Must score at least 75% to complete recovery",true,false
6,C102,I004,1,Review AI Fundamentals,"Review recorded lectures on machine learning basics,false,false
7,C102,I004,2,Complete Online Modules,"Finish interactive online modules on supervised and unsupervised learning. Complete all embedded quizzes",true,true
8,C102,I004,3,Coding Assignment,"Implement a basic neural network using provided template. Submit working code with documentation",true,true
9,C102,I004,4,Group Discussion Session,"Attend mandatory group discussion to review AI ethics and applications. Active participation required",true,false
10,C103,I002,1,Lecture Review - Cell Biology,"Watch lectures 6-10 on cell structure,false,false
11,C103,I002,2,Lab Work Makeup,"Complete three missed lab experiments: microscopy,false,false
12,C103,I002,3,Reading Assignments,"Read textbook chapters 4-7 and complete comprehension questions at the end of each chapter",true,false
13,C103,I002,4,Research Paper Summary,"Write a 1000-word summary of an assigned research paper on cellular biology. Include critical analysis",true,true
14,C103,I002,5,Recovery Exam,"Take the comprehensive recovery exam covering all missed topics. Minimum score: 70%",true,true
15,C105,I001,1,OS Concepts Review,"Review lectures on process management,false,false
16,C105,I001,2,Virtual Lab Sessions,"Complete 4 virtual lab sessions on Linux commands,false,false
17,C105,I001,3,Programming Projects,"Complete two programming projects: process scheduler simulation and memory allocator implementation",true,true
18,C105,I001,4,Technical Report,"Write technical report explaining your implementation choices and performance analysis of projects",true,true
